Date, MSCI Price
3/7/2024,"3,391.26"
3/6/2024,"3,357.03"
3/5/2024,"3,337.20"
3/4/2024,"3,362.28"
3/1/2024,"3,364.04"
2/29/2024,"3,337.20"
2/28/2024,"3,322.64"
2/27/2024,"3,331.88"
2/26/2024,"3,325.79"
2/23/2024,"3,334.04"
2/22/2024,"3,329.86"
2/21/2024,"3,272.19"
2/20/2024,"3,274.33"
2/19/2024,"3,286.86"
2/16/2024,"3,285.12"
2/15/2024,"3,289.74"
2/14/2024,"3,265.67"
2/13/2024,"3,240.26"
2/12/2024,"3,281.01"
2/9/2024,"3,281.42"
2/8/2024,"3,266.14"
2/7/2024,"3,265.07"
2/6/2024,"3,244.51"
2/5/2024,"3,233.53"
2/2/2024,"3,247.64"
2/1/2024,"3,226.80"
1/31/2024,"3,205.32"
1/30/2024,"3,236.76"
1/29/2024,"3,236.32"
1/26/2024,"3,216.23"
1/25/2024,"3,212.32"
1/24/2024,"3,203.55"
1/23/2024,"3,190.90"
1/22/2024,"3,189.10"
1/19/2024,"3,175.36"
1/18/2024,"3,143.20"
1/17/2024,"3,120.44"
1/16/2024,"3,146.04"
1/15/2024,"3,165.14"
1/12/2024,"3,168.31"
1/11/2024,"3,157.32"
1/10/2024,"3,161.50"
1/9/2024,"3,146.97"
1/8/2024,"3,153.62"
1/5/2024,"3,120.55"
1/4/2024,"3,114.12"
1/3/2024,"3,115.68"
1/2/2024,"3,145.42"
1/1/2024,"3,169.25"
12/29/2023,"3,169.18"
12/28/2023,"3,178.05"
12/27/2023,"3,175.65"
12/26/2023,"3,162.65"
12/25/2023,"3,152.49"
12/22/2023,"3,152.26"
12/21/2023,"3,145.09"
12/20/2023,"3,121.79"
12/19/2023,"3,153.34"
12/18/2023,"3,131.35"
12/15/2023,"3,126.14"
12/14/2023,"3,128.89"
12/13/2023,"3,101.08"
12/12/2023,"3,067.44"
12/11/2023,"3,056.42"
12/8/2023,"3,047.21"
12/7/2023,"3,037.45"
12/6/2023,"3,020.98"
12/5/2023,"3,023.22"
12/4/2023,"3,026.59"
12/1/2023,"3,040.70"
11/30/2023,"3,023.63"
11/29/2023,"3,013.93"
11/28/2023,"3,012.57"
11/27/2023,"3,007.99"
11/24/2023,"3,015.19"
11/23/2023,"3,008.74"
11/22/2023,"3,004.76"
11/21/2023,"2,999.87"
11/20/2023,"3,004.88"
11/17/2023,"2,985.19"
11/16/2023,"2,973.00"
11/15/2023,"2,975.19"
11/14/2023,"2,963.36"
11/13/2023,"2,904.64"
11/10/2023,"2,900.76"
11/9/2023,"2,878.98"
