Date,EURO STOXX
12/31/1986,98.58
1/31/1987,97.3077
2/28/1987,93.8925
3/31/1987,95.4423
4/30/1987,98.655
5/31/1987,96.2062
6/30/1987,96.2273
7/31/1987,100.7052
8/31/1987,102.8638
9/30/1987,101.8732
10/31/1987,93.5741
11/30/1987,74.0581
12/31/1987,71.8739
1/31/1988,70.8595
2/29/1988,73.3595
3/31/1988,78.0235
4/30/1988,77.999
5/31/1988,76.7941
6/30/1988,82.0077
7/31/1988,84.2586
8/31/1988,84.1896
9/30/1988,85.13
10/31/1988,89.6886
11/30/1988,90.0427
12/31/1988,90.6909
1/31/1989,95.2768
2/28/1989,94.9385
3/31/1989,95.0526
4/30/1989,98.953
5/31/1989,99.6017
6/30/1989,103.7064
7/31/1989,106.3643
8/31/1989,111.4291
9/30/1989,115.3
10/31/1989,111.8686
11/30/1989,108.7291
12/31/1989,115.629
1/31/1990,118.0348
2/28/1990,115.6145
3/31/1990,117.3305
4/30/1990,120.3005
5/31/1990,120.4174
6/30/1990,119.9662
7/31/1990,120.7364
8/31/1990,106.3191
9/30/1990,97.0165
10/31/1990,94.3917
11/30/1990,92.8364
12/31/1990,93.9629
1/31/1991,89.5074
2/28/1991,97.5715
3/31/1991,103.7538
4/30/1991,106.0941
5/31/1991,106.837
6/30/1991,107.9655
7/31/1991,103.867
8/31/1991,103.6605
9/30/1991,104.8433
10/31/1991,102.443
11/30/1991,101.6152
12/31/1991,97.8909
1/31/1992,103.7765
2/29/1992,107.277
3/31/1992,108.1845
4/30/1992,108.1586
5/31/1992,109.7786
6/30/1992,107.4
7/31/1992,100.7643
8/31/1992,94.9081
9/30/1992,95.9527
10/31/1992,94.0068
11/30/1992,97.6243
12/31/1992,97.933
1/31/1993,100.8486
2/28/1993,106.868
3/31/1993,110.9317
4/30/1993,110.8673
5/31/1993,109.5343
6/30/1993,111.6823
7/31/1993,116.4573
8/31/1993,125.3623
9/30/1993,125.1082
10/31/1993,129.1205
11/30/1993,128.5341
12/31/1993,134.2248
1/31/1994,138.721
2/28/1994,140.1085
3/31/1994,136.6991
4/30/1994,138.8181
5/31/1994,139.2473
6/30/1994,130.1759
7/31/1994,130.5857
8/31/1994,134.3426
9/30/1994,130.8327
10/31/1994,126.3748
11/30/1994,128.2355
12/31/1994,127.2641
1/31/1995,125.6495
2/28/1995,126.778
3/31/1995,122.1991
4/30/1995,124.7945
5/31/1995,130.8243
6/30/1995,130.9068
7/31/1995,133.9795
8/31/1995,136.1165
9/30/1995,135.151
10/31/1995,130.6264
11/30/1995,132.9164
12/31/1995,136.3838
1/31/1996,142.4748
2/29/1996,145.71
3/31/1996,146.1205
4/30/1996,150.4845
5/31/1996,152.713
6/30/1996,152.8555
7/31/1996,148.5978
8/31/1996,148.8209
9/30/1996,150.81
10/31/1996,156.2596
11/30/1996,159.9929
